Country,Product_Group_Use,SalesRep_Code,yearmonth,MTD Sales,UserKey_4Map
TW,JANUME,BFC8,2024-08-01,308468.0,TW_BFC8
TW,JANUME,BFSA,2024-08-01,625798.0,TW_BFSA
TW,JANUME,BIDC,2024-08-01,197079.0,TW_BIDC
TW,JANUME,BICC,2024-08-01,696944.0,TW_BICC
TW,JANUME,BFC6,2024-08-01,669085.0,TW_BFC6
TW,JANUME,BFR6,2024-08-01,441220.0,TW_BFR6
TW,JANUME,BIEB,2024-08-01,220753.0,TW_BIEB
TW,JANUME,BFR3,2024-08-01,510215.0,TW_BFR3
TW,JANUME,BFS3,2024-08-01,570283.0,TW_BFS3
TW,JANUME,BICB,2024-08-01,415014.0,TW_BICB
TW,JANUME,BFS4,2024-08-01,220035.0,TW_BFS4
TW,JANUME,BFC2,2024-08-01,660775.0,TW_BFC2
TW,JANUME,BFC5,2024-08-01,314628.0,TW_BFC5
TW,JANUME,BFN6,2024-08-01,402237.0,TW_BFN6
TW,JANUME,BIDB,2024-08-01,373416.0,TW_BIDB
TW,JANUME,BFN4,2024-08-01,231690.0,TW_BFN4
TW,JANUME,BIDD,2024-08-01,434940.0,TW_BIDD
TW,JANUME,BIBA,2024-08-01,170613.0,TW_BIBA
TW,JANUME,BIDA,2024-08-01,269170.0,TW_BIDA
TW,JANUME,BIBC,2024-08-01,201655.0,TW_BIBC
TW,JANUME,BFS7,2024-08-01,285299.0,TW_BFS7
TW,JANUME,BIDE,2024-08-01,472867.0,TW_BIDE
TW,JANUME,BIBD,2024-08-01,234459.0,TW_BIBD
TW,JANUME,BFN5,2024-08-01,510827.0,TW_BFN5
TW,JANUME,BIEE,2024-08-01,233607.0,TW_BIEE
TW,JANUME,BICH,2024-08-01,186313.0,TW_BICH
TW,JANUME,BIDN,2024-08-01,87037.0,TW_BIDN
TW,JANUME,BIEC,2024-08-01,485940.0,TW_BIEC
TW,JANUME,BICA,2024-08-01,116223.0,TW_BICA
TW,JANUME,BIAB,2024-08-01,179212.0,TW_BIAB
TW,JANUME,BIBB,2024-08-01,22109.0,TW_BIBB
TW,JANUME,BIDO,2024-08-01,44902.0,TW_BIDO
TW,JANUME,BIBJ,2024-08-01,132283.0,TW_BIBJ
TW,JANUME,BIAC,2024-08-01,165563.0,TW_BIAC
TW,JANUME,BFBUM,2024-08-01,869979.0,TW_BFBUM
TW,JANUME,BFN7,2024-08-01,159597.0,TW_BFN7
TW,JANUME,BIEK,2024-08-01,232110.0,TW_BIEK
TW,JANUME,BICD,2024-08-01,408810.0,TW_BICD
TW,JANUME,BI00,2024-08-01,375251.0,TW_BI00
TW,JANUME,BIAI,2024-08-01,214917.0,TW_BIAI
TW,JANUME,BIAA,2024-08-01,17433.0,TW_BIAA
TW,JANUVI,BFC8,2024-08-01,153231.0,TW_BFC8
TW,JANUVI,BIBD,2024-08-01,152633.0,TW_BIBD
TW,JANUVI,BICA,2024-08-01,327924.0,TW_BICA
TW,JANUVI,BFSB,2024-08-01,181778.0,TW_BFSB
TW,JANUVI,BFC2,2024-08-01,162597.0,TW_BFC2
TW,JANUVI,BFR5,2024-08-01,391203.0,TW_BFR5
TW,JANUVI,BFC4,2024-08-01,279750.0,TW_BFC4
TW,JANUVI,BFR2,2024-08-01,184303.0,TW_BFR2
TW,JANUVI,BFR4,2024-08-01,119321.0,TW_BFR4
TW,JANUVI,BFC1,2024-08-01,278501.0,TW_BFC1
TW,JANUVI,BFSA,2024-08-01,222102.0,TW_BFSA
TW,JANUVI,BFC6,2024-08-01,259656.0,TW_BFC6
TW,JANUVI,BFN2,2024-08-01,458760.0,TW_BFN2
TW,JANUVI,BIBA,2024-08-01,178301.0,TW_BIBA
TW,JANUVI,BFC7,2024-08-01,230780.0,TW_BFC7
TW,JANUVI,BFS3,2024-08-01,283956.0,TW_BFS3
TW,JANUVI,BIDC,2024-08-01,211523.0,TW_BIDC
TW,JANUVI,BIDD,2024-08-01,78286.0,TW_BIDD
TW,JANUVI,BFN4,2024-08-01,223204.0,TW_BFN4
TW,JANUVI,BFR6,2024-08-01,324685.0,TW_BFR6
TW,JANUVI,BIEE,2024-08-01,23779.0,TW_BIEE
TW,JANUVI,BFC3,2024-08-01,526446.0,TW_BFC3
TW,JANUVI,BFS5,2024-08-01,100293.0,TW_BFS5
TW,JANUVI,BIDK,2024-08-01,86475.0,TW_BIDK
TW,JANUVI,BFS2,2024-08-01,156403.0,TW_BFS2
TW,JANUVI,BFN1,2024-08-01,316615.0,TW_BFN1
TW,JANUVI,BFN6,2024-08-01,435994.0,TW_BFN6
TW,JANUVI,BIBB,2024-08-01,624167.0,TW_BIBB
TW,JANUVI,BFN3,2024-08-01,647514.0,TW_BFN3
TW,JANUVI,BIAC,2024-08-01,320466.0,TW_BIAC
TW,JANUVI,BI00,2024-08-01,587189.0,TW_BI00
TW,JANUVI,BFC5,2024-08-01,195027.0,TW_BFC5
TW,JANUVI,BFS1,2024-08-01,224526.0,TW_BFS1
TW,JANUVI,BFR7,2024-08-01,242638.0,TW_BFR7
TW,JANUVI,BIDA,2024-08-01,4243.0,TW_BIDA
TW,JANUVI,BIAI,2024-08-01,202278.0,TW_BIAI
TW,JANUVI,BIAA,2024-08-01,169441.0,TW_BIAA
TW,JANUVI,BIDB,2024-08-01,49644.0,TW_BIDB
TW,JANUVI,BFS4,2024-08-01,110045.0,TW_BFS4
TW,JANUVI,BIDO,2024-08-01,133225.0,TW_BIDO
TW,JANUVI,BICH,2024-08-01,55983.0,TW_BICH
TW,JANUVI,BFS7,2024-08-01,184463.0,TW_BFS7
TW,JANUVI,BFBUM,2024-08-01,409161.0,TW_BFBUM
TW,JANUVI,BIDN,2024-08-01,89047.0,TW_BIDN
TW,JANUVI,BIDE,2024-08-01,26194.0,TW_BIDE
TW,JANUVI,BIDM,2024-08-01,124050.0,TW_BIDM
TW,JANUVI,BFN5,2024-08-01,278951.0,TW_BFN5
TW,JANUVI,BIEC,2024-08-01,115227.0,TW_BIEC
TW,JANUVI,BIEJ,2024-08-01,97196.0,TW_BIEJ
TW,JANUVI,BICC,2024-08-01,589254.0,TW_BICC
TW,JANUVI,BIBC,2024-08-01,562726.0,TW_BIBC
TW,JANUVI,BFN7,2024-08-01,86020.0,TW_BFN7
TW,JANUVI,BIAB,2024-08-01,34779.0,TW_BIAB
TW,JANUVI,BICD,2024-08-01,151322.0,TW_BICD
TW,JANUVI,BIEA,2024-08-01,175200.0,TW_BIEA
TW,JANUVI,BFR3,2024-08-01,284670.0,TW_BFR3
TW,JANUVI,BIBI,2024-08-01,59214.0,TW_BIBI
TW,JANUVI,BIBJ,2024-08-01,203015.0,TW_BIBJ
TW,JANUVI,BICB,2024-08-01,215124.0,TW_BICB
TW,JANUVI,BFSC,2024-08-01,74478.0,TW_BFSC
TW,JANUVI,BFR1,2024-08-01,130123.0,TW_BFR1
TW,JANUVI,BFS6,2024-08-01,119582.0,TW_BFS6
TW,JANUVI,BIED,2024-08-01,114934.0,TW_BIED
